"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"14","3.5347999999999997","3.5347999999999997","3.5347999999999997","1.5175999999999998","1.5175999999999998","1.5175999999999998","1.2116","1.2116","1.2116","0.4384","0.4384","0.4384","0","0","0"
"15","0.9136","0.9136","0.9136","0.7552","0.7552","0.7552","0","0","0","0.43479999999999996","0.43479999999999996","0.43479999999999996","0","0","0"
"16","0","0","0","0.5932","0.5932","0.5932","0","0","0","1.3304","1.3304","1.3304","0","0","0"
"17","1.0316","1.0316","1.0316","0.8704000000000001","0.8704000000000001","0.8704000000000001","0","0","0","0.604","0.604","0.604","0","0","0"
"18","0.1432","0.1432","0.1432","0","0","0","0","0","0","0.9056","0.9056","0.9056","0","0","0"
"19","0.6716","0.6716","0.6716","0.9064","0.9064","0.9064","0.2691999999999999","0.2691999999999999","0.2691999999999999","0","0","0","0","0","0"
"20","1.2511999999999999","1.2511999999999999","1.2511999999999999","1.8299999999999998","1.8299999999999998","1.8299999999999998","0.6472","0.6472","0.6472","0.4852000000000001","0.4852000000000001","0.4852000000000001","0","0","0"
"21","1.7227999999999999","1.7227999999999999","1.7227999999999999","1.4924","1.4924","1.4924","0","0","0","0","0","0","0.6544","0.6544","0.6544"
"22","1.0747999999999998","1.0747999999999998","1.0747999999999998","0","0","0","1.0784","1.0784","1.0784","1.0028000000000001","1.0028000000000001","1.0028000000000001","0","0","0"
"23","0","0","0","1.6688","1.6688","1.6688","0","0","0","1.0388000000000002","1.0388000000000002","1.0388000000000002","0","0","0"
"24","2.2512","2.2512","2.2512","1.2187999999999999","1.2187999999999999","1.2187999999999999","0","0","0","1.8479999999999999","1.8479999999999999","1.8479999999999999","0","0","0"
"25","1.2511999999999999","1.2511999999999999","1.2511999999999999","0.7012","0.7012","0.7012","1.2404","1.2404","1.2404","0.9748","0.9748","0.9748","0","0","0"
"26","0","0","0","2.3863999999999996","2.3863999999999996","2.3863999999999996","0","0","0","1.0676","1.0676","1.0676","0","0","0"
"27","0.992","0.992","0.992","0.6904","0.6904","0.6904","1.7976","1.7976","1.7976","0","0","0","0","0","0"
"28","2.8336","2.8336","2.8336","2.4592","2.4592","2.4592","2.64","2.64","2.64","0.838","0.838","0.838","0","0","0"
"29","1.3663999999999998","1.3663999999999998","1.3663999999999998","0","0","0","0.8308","0.8308","0.8308","0","0","0","0","0","0"
"30","0.398","0.398","0.398","0.8695999999999999","0.8695999999999999","0.8695999999999999","1.5464","1.5464","1.5464","0","0","0","0","0","0"
"31","1.3268","1.3268","1.3268","0.6212","0.6212","0.6212","1.0632","1.0632","1.0632","0","0","0","0","0","0"
"32","1.4404000000000001","1.4404000000000001","1.4404000000000001","0.3628","0.3628","0.3628","0.6832","0.6832","0.6832","0","0","0","0","0","0"
"33","1.0244","1.0244","1.0244","2.6967999999999996","2.6967999999999996","2.6967999999999996","0.7624","0.7624","0.7624","0.7263999999999999","0.7263999999999999","0.7263999999999999","0","0","0"
"34","1.496","1.496","1.496","0.7876","0.7876","0.7876","1.0244","1.0244","1.0244","0.8488","0.8488","0.8488","0","0","0"
